What's up?;E aí?
How's it going?;Como vai?
Long time no see!;Quanto tempo!
See you later!;Até mais!
Take care!;Se cuida!
Catch you later!;Te vejo depois!
Have a good one!;Tenha um bom dia!
What's going on?;O que está rolando?
Nice to meet you!;Prazer em te conhecer!
How have you been?;Como você tem estado?
Thank you so much!;Muito obrigado!
No problem!;De nada! / Sem problemas!
I appreciate it.;Eu agradeço.
Sorry about that.;Foi mal por isso.
My bad.;Culpa minha.
Don’t worry about it.;Não se preocupe com isso.
You’re welcome.;De nada.
That’s very kind of you.;Que gentileza sua.
I owe you one.;Te devo uma.
Forgive me.;Me perdoe.
What do you mean?;O que você quer dizer?
Are you kidding me?;Tá brincando comigo?
Sounds good!;Parece bom!
Let me think.;Deixa eu pensar.
What’s the plan?;Qual é o plano?
I’m in!;Tô dentro!
I’m out.;Tô fora!
I don’t get it.;Não entendi.
That’s awesome!;Isso é incrível!
That’s crazy!;Que loucura!
I think so.;Eu acho que sim.
I don’t think so.;Acho que não.
I guess so.;Acho que sim.
I have no idea.;Não faço ideia.
It doesn’t make sense.;Não faz sentido.
I see your point.;Entendi seu ponto.
I couldn’t agree more.;Concordo plenamente.
You’re right.;Você está certo.
That’s fair.;Isso é justo.
I don’t mind.;Não me importo.
Can you help me out?;Pode me ajudar?
Do me a favor.;Me faz um favor.
Can I ask you something?;Posso te perguntar uma coisa?
Let me know.;Me avisa.
Could you pass that?;Pode passar isso?
I’ll take care of it.;Eu cuido disso.
Do you need anything?;Precisa de alguma coisa?
Let me help you.;Deixa eu te ajudar.
How can I help?;Como posso ajudar?
I got it.;Deixa comigo.
How much is it?;Quanto custa?
I’m just looking.;Só estou olhando.
Can I try it on?;Posso experimentar?
I’ll take this one.;Vou levar este.
Can we get the check, please?;A conta, por favor.
What do you recommend?;O que você recomenda?
Is it spicy?;É apimentado?
To go, please.;Para levar, por favor.
That’s too expensive.;Está muito caro.
Do you have this in another size?;Tem isso em outro tamanho?
What time is it?;Que horas são?
I’m running late.;Estou atrasado.
I’ll be right back.;Já volto.
It’s up to you.;Você que sabe.
Take your time.;Sem pressa.
I’m in a hurry.;Estou com pressa.
Let’s call it a day.;Vamos encerrar por hoje.
See you tomorrow!;Até amanhã!
It’s been a long day.;Foi um dia longo.
What’s the deadline?;Qual é o prazo?
Let’s get started.;Vamos começar.
I’m on it.;Estou nisso.
I’ll handle it.;Eu resolvo.
Can you repeat that?;Pode repetir isso?
What’s the next step?;Qual é o próximo passo?
I need some help.;Preciso de ajuda.
Let’s brainstorm.;Vamos fazer um brainstorm.
What do you think?;O que você acha?
That works for me.;Isso funciona pra mim.
Let’s take a break.;Vamos fazer uma pausa.
Where is the nearest...?;Onde fica o(a) mais próximo(a)...?
How do I get there?;Como chego lá?
Is it far?;É longe?
Can you show me on the map?;Pode me mostrar no mapa?
I’m lost.;Estou perdido.
I’d like to book a room.;Gostaria de reservar um quarto.
What’s the address?;Qual é o endereço?
How long does it take?;Quanto tempo demora?
Is this the right way?;É por aqui?
Can I walk there?;Dá pra ir a pé?
I’m so happy!;Estou tão feliz!
That’s hilarious!;Isso é hilário!
I’m exhausted.;Estou exausto.
I’m bored.;Estou entediado.
I’m starving.;Estou morrendo de fome.
I’m freezing.;Estou congelando.
I’m so sorry.;Sinto muito.
That’s amazing!;Isso é incrível!
I can’t believe it.;Não acredito nisso.
I’m feeling great.;Estou me sentindo ótimo.
I miss you.;Eu sinto sua falta.
Can you call me?;Você pode me ligar?
What are you doing?;O que você está fazendo?
I need help.;Eu preciso de ajuda.
Where are you?;Onde você está?
Can I sit here?;Posso sentar aqui?
I’ll be right back.;Eu já volto.
It’s too late.;Está muito tarde.
What’s your opinion?;Qual é a sua opinião?
It’s up to you.;É com você.
I’ll think about it.;Vou pensar sobre isso.
Let me know.;Me avise.
How far is it?;Quão longe é?
I don’t care.;Eu não me importo.
That’s funny!;Isso é engraçado!
I’m on my way.;Estou a caminho.
Don’t worry.;Não se preocupe.
Let’s hang out!;Vamos sair!
I’m here for you.;Estou aqui para você.
Do you want to join me?;Você quer se juntar a mim?
Let’s stay in touch.;Vamos manter contato.
It’s your turn.;É a sua vez.
Don’t be late!;Não se atrase!
I’ll pick you up.;Eu te busco.
Sounds good!;Parece bom!
What’s the plan?;Qual é o plano?
I’m so excited!;Estou tão animado(a)!
That’s awesome!;Isso é incrível!
It’s not fair.;Não é justo.
I don’t believe it!;Eu não acredito!
Are you serious?;Você está falando sério?
Let’s get started.;Vamos começar.
It’s not my fault.;Não é minha culpa.
Can I borrow this?;Posso pegar isso emprestado?
Watch out!;Cuidado!
It’s very important.;É muito importante.
I feel great!;Eu me sinto ótimo(a)!
Can you hear me?;Você pode me ouvir?
It’s over there.;Está ali.
What happened?;O que aconteceu?
I’m so sorry!;Eu sinto muito!
How can I help?;Como posso ajudar?
Do you need anything?;Você precisa de alguma coisa?
I’m here to help.;Estou aqui para ajudar.
Enjoy your meal!;Aproveite sua refeição!
I’ll take care of it.;Eu cuidarei disso.
That’s interesting.;Isso é interessante.
It’s so beautiful!;É tão bonito!
Have a safe trip!;Tenha uma boa viagem!
How are you feeling today?;Como você está se sentindo hoje?
What time should we meet?;Que horas devemos nos encontrar?
Do you have any plans for the weekend?;Você tem algum plano para o final de semana?
What’s the weather like?;Como está o tempo?
Can I help you with something?;Posso te ajudar com algo?
Do you need directions?;Você precisa de direções?
Can you show me the way?;Você pode me mostrar o caminho?
Where should we go for lunch?;Onde devemos almoçar?
Do you want something to drink?;Você quer algo para beber?
What’s your favorite movie?;Qual é o seu filme favorito?
Have you seen this show?;Você já viu esse programa?
Do you want to watch something?;Você quer assistir a algo?
How long will it take?;Quanto tempo vai levar?
Can you wait for me?;Você pode me esperar?
What’s your phone number?;Qual é o seu número de telefone?
Did you get my message?;Você recebeu minha mensagem?
Can I call you later?;Posso te ligar mais tarde?
Are you free tomorrow?;Você está livre amanhã?
Would you like to go out?;Você gostaria de sair?
Let’s grab some coffee.;Vamos tomar um café.
Can you recommend a good restaurant?;Você pode recomendar um bom restaurante?
Do you know this area?;Você conhece esta área?
How was your weekend?;Como foi o seu fim de semana?
What are you thinking about?;No que você está pensando?
Can we talk for a moment?;Podemos conversar um momento?
What do you usually do for fun?;O que você costuma fazer para se divertir?
Do you like going to the beach?;Você gosta de ir à praia?
What kind of music do you listen to?;Que tipo de música você ouve?
Have you been here before?;Você já esteve aqui antes?
Can I take a photo here?;Posso tirar uma foto aqui?
Do you have Instagram?;Você tem Instagram?
Where should we sit?;Onde devemos sentar?
Can you pass me that?;Você pode me passar isso?
Do you mind if I join you?;Você se importa se eu me juntar a você?
How do you like your coffee?;Como você gosta do seu café?
What’s your favorite food?;Qual é a sua comida favorita?
Have you ever tried this?;Você já experimentou isso?
Can I get the check, please?;Posso pegar a conta, por favor?
What time does it start?;Que horas começa?
Are you enjoying yourself?;Você está se divertindo?
Do you want to go for a walk?;Você quer dar uma caminhada?
What do you do for work?;O que você faz para trabalhar?
Do you work from home?;Você trabalha de casa?
Are you studying anything new?;Você está estudando algo novo?
What are your hobbies?;Quais são seus hobbies?
Have you traveled recently?;Você viajou recentemente?
Do you have siblings?;Você tem irmãos?
How long have you lived here?;Há quanto tempo você mora aqui?
What’s your favorite place in the city?;Qual é o seu lugar favorito na cidade?
Do you like cooking?;Você gosta de cozinhar?
Have you been to this place before?;Você já esteve neste lugar antes?
What are you looking for?;O que você está procurando?
How do you get to work?;Como você vai para o trabalho?
Do you take public transportation?;Você usa transporte público?
How long does it take to get there?;Quanto tempo leva para chegar lá?
Can you recommend something to do?;Você pode recomendar algo para fazer?
Do you know any good places to visit?;Você conhece algum lugar bom para visitar?
What time do you usually wake up?;Que horas você costuma acordar?
Do you exercise regularly?;Você se exercita regularmente?
What do you usually eat for breakfast?;O que você costuma comer no café da manhã?
What time do you usually go to bed?;Que horas você costuma ir dormir?
Do you have any pets?;Você tem algum animal de estimação?
What’s your dog’s name?;Qual é o nome do seu cachorro?
Are you allergic to anything?;Você é alérgico(a) a alguma coisa?
Have you been feeling okay?;Você tem se sentido bem?
Do you like your job?;Você gosta do seu trabalho?
Are you looking for a new job?;Você está procurando um novo emprego?
What do you think about this place?;O que você acha deste lugar?
Did you enjoy your meal?;Você gostou da sua refeição?
Do you want to order dessert?;Você quer pedir sobremesa?
Are you ready to go?;Você está pronto(a) para ir?
Do you need help with your bag?;Você precisa de ajuda com sua bolsa?
Can you open the door for me?;Você pode abrir a porta para mim?
How do you spell your name?;Como você soletra seu nome?
Can I have your email address?;Posso ter seu endereço de e-mail?
Did you hear about the news?;Você ouviu as notícias?
What’s trending on social media?;O que está em alta nas redes sociais?
Do you follow any influencers?;Você segue algum influenciador?
How do you usually spend your weekends?;Como você costuma passar seus fins de semana?
Are you a morning person or a night owl?;Você é uma pessoa diurna ou noturna?
What’s your dream destination?;Qual é o seu destino dos sonhos?
Have you ever been abroad?;Você já esteve no exterior?
What’s your favorite holiday?;Qual é o seu feriado favorito?
Do you celebrate Christmas?;Você celebra o Natal?
What’s your favorite memory?;Qual é sua memória favorita?
Can I give you a hand?;Posso te dar uma mão?
How was your day?;Como foi o seu dia?
Did you sleep well?;Você dormiu bem?
What’s your favorite season?;Qual é a sua estação favorita?
Do you like surprises?;Você gosta de surpresas?
Are you afraid of heights?;Você tem medo de altura?
What are you grateful for?;Pelo que você é grato(a)?
What's up?;E aí?
How's it going?;Como vai?
Good morning!;Bom dia!
Good night!;Boa noite!
See you later!;Até mais!
Take care!;Se cuida!
What's your name?;Qual é o seu nome?
Nice to meet you!;Prazer em te conhecer!
How are you?;Como você está?
"I'm fine, thanks.";"Estou bem, obrigado(a)."
Do you speak English?;Você fala inglês?
Where are you from?;De onde você é?
I'm from Brazil.;Eu sou do Brasil.
How old are you?;Quantos anos você tem?
I'm 25 years old.;Eu tenho 25 anos.
Can you help me?;Você pode me ajudar?
Excuse me.;Com licença.
Thank you.;Obrigado(a).
You're welcome.;De nada.
I'm sorry.;Desculpe.
No problem.;Sem problemas.
What time is it?;Que horas são?
I don't understand.;Eu não entendo.
Could you repeat that?;Você pode repetir isso?
Where is the bathroom?;Onde fica o banheiro?
How much does it cost?;Quanto custa isso?
I like it.;Eu gosto disso.
I don't like it.;Eu não gosto disso.
What do you think?;O que você acha?
I'm hungry.;Estou com fome.
I'm thirsty.;Estou com sede.
I'm tired.;Estou cansado(a).
Let's go!;Vamos!
What's wrong?;O que houve?
Calm down!;Calma!
Wait a second.;Espera um segundo.
Hurry up!;Se apresse!
That's amazing!;Isso é incrível!
Are you kidding?;Você está brincando?
It doesn't matter.;Não importa.
I don't know.;Eu não sei.
Can you speak slower?;Você pode falar mais devagar?
What do you do?;O que você faz?
I work as a teacher.;Eu trabalho como professor(a).
Where do you live?;Onde você mora?
I live in São Paulo.;Eu moro em São Paulo.
Do you have pets?;Você tem animais de estimação?
"Yes, I have a dog.";"Sim, eu tenho um cachorro."
I don't have time.;Eu não tenho tempo.
I'm busy right now.;Estou ocupado(a) agora.
Do you like music?;Você gosta de música?
What's your favorite song?;Qual é sua música favorita?
I love traveling.;Eu amo viajar.
Where have you been?;Onde você esteve?
See you tomorrow!;Te vejo amanhã!